Versuchsteilnehmer 1: Dilshod
Versuchsteilnehmer 2: Lucas
Versuch: 
Startzeit: 25.03.2025 12:36:38
Stoppzeit: 25.03.2025 12:40:15
Probennummer: 
Gatespannung: 
Sweeprate: 
Strom: 
Magnetfeld: 
Temperatur: 
Bemerkung: 
Kommentar: 

Zeit/s          	U_AB (V)          	U_mano (V)          	U_sample (V)          	U_field (V)
0,000000000000	0,011288161000	0,564913200000	0,000081322000	0,000002719000
1,000000000000	0,011287846000	0,564873400000	0,000080840000	0,000002812000
2,000000000000	0,011287944000	0,564809530000	0,000080987000	0,000002864000
3,000000000000	0,011287901000	0,564750750000	0,000080767000	0,000003403000
4,000000000000	0,011289570000	0,564705240000	0,000080599000	0,000003362000
5,000000000000	0,011289299000	0,564659120000	0,000080934000	0,000003611000
6,000000000000	0,011289679000	0,564581570000	0,000080767000	0,000004119000
7,000000000000	0,011289982000	0,564495040000	0,000081091000	0,000004389000
8,000000000000	0,011290763000	0,564410550000	0,000082400000	0,000004835000
9,000000000000	0,011291522000	0,564331770000	0,000084776000	0,000005416000
10,000000000000	0,011292974000	0,564204020000	0,000093141000	0,000005717000
11,000000000000	0,011294243000	0,564109120000	0,000110917000	0,000006091000
12,000000000000	0,011294752000	0,564029320000	0,000132357000	0,000006599000
13,000000000000	0,011295479000	0,563950750000	0,000152541000	0,000007035000
14,000000000000	0,011296736000	0,563841980000	0,000165428000	0,000007492000
15,000000000000	0,011296357000	0,563729730000	0,000172128000	0,000007678000
16,001000000000	0,011297744000	0,563621370000	0,000175677000	0,000007927000
17,000000000000	0,011298796000	0,563521770000	0,000177289000	0,000007824000
18,000000000000	0,011299295000	0,563392790000	0,000177813000	0,000008975000
19,000000000000	0,011300606000	0,563243200000	0,000177635000	0,000009536000
20,000000000000	0,011301419000	0,563124630000	0,000177697000	0,000009785000
21,000000000000	0,011302915000	0,563025650000	0,000178168000	0,000010189000
22,000000000000	0,011303631000	0,562896270000	0,000178336000	0,000010418000
23,000000000000	0,011303826000	0,562754220000	0,000177676000	0,000011009000
24,000000000000	0,011304943000	0,562627290000	0,000177760000	0,000011424000
25,000000000000	0,011306255000	0,562519530000	0,000177122000	0,000011819000
26,000000000000	0,011307198000	0,562398100000	0,000177394000	0,000012036000
27,000000000000	0,011309052000	0,562239940000	0,000178043000	0,000012545000
28,001000000000	0,011308986000	0,562091780000	0,000178022000	0,000013022000
29,000000000000	0,011310623000	0,561967290000	0,000178011000	0,000013458000
30,000000000000	0,011311664000	0,561837700000	0,000178022000	0,000014008000
31,000000000000	0,011312098000	0,561718100000	0,000177750000	0,000014039000
32,000000000000	0,011313366000	0,561609740000	0,000177833000	0,000014579000
33,000000000000	0,011313149000	0,561522590000	0,000177980000	0,000015087000
34,000000000000	0,011315079000	0,561403410000	0,000178043000	0,000015326000
35,000000000000	0,011315578000	0,561279740000	0,000177970000	0,000015658000
36,000000000000	0,011315957000	0,561160350000	0,000177394000	0,000016125000
37,000000000000	0,011317963000	0,561038310000	0,000177101000	0,000016581000
38,000000000000	0,011319210000	0,560888100000	0,000177970000	0,000016924000
39,000000000000	0,011319491000	0,560751780000	0,000177917000	0,000017474000
40,000000000000	0,011320933000	0,560605450000	0,000177687000	0,000017920000
41,000000000000	0,011322885000	0,560484640000	0,000177833000	0,000018107000
42,000000000000	0,011323687000	0,560370350000	0,000177928000	0,000018605000
43,000000000000	0,011324446000	0,560230550000	0,000178158000	0,000019165000
44,000000000000	0,011325487000	0,560050760000	0,000178210000	0,000019704000
45,000000000000	0,011327893000	0,559915250000	0,000177928000	0,000020005000
46,000000000000	0,011328977000	0,559789130000	0,000177540000	0,000020400000
47,000000000000	0,011329444000	0,559651980000	0,000178064000	0,000020763000
48,000000000000	0,011330669000	0,559507490000	0,000178483000	0,000020991000
49,000000000000	0,011331894000	0,559371580000	0,000177802000	0,000021489000
50,000000000000	0,011333064000	0,559263010000	0,000177143000	0,000021946000
51,000000000000	0,011334062000	0,559130960000	0,000177823000	0,000022330000
52,000000000000	0,011335482000	0,558996880000	0,000178210000	0,000022599000
53,000000000000	0,011336750000	0,558861370000	0,000177886000	0,000023170000
54,000000000000	0,011337639000	0,558745050000	0,000178011000	0,000023533000
55,000000000000	0,011338322000	0,558655250000	0,000177938000	0,000024208000
56,000000000000	0,011339396000	0,558553210000	0,000177938000	0,000024156000
57,000000000000	0,011339959000	0,558455050000	0,000178263000	0,000024187000
58,000000000000	0,011341054000	0,558362800000	0,000178137000	0,000025007000
59,000000000000	0,011341781000	0,558270350000	0,000177833000	0,000025505000
60,000000000000	0,011342084000	0,558180350000	0,000178179000	0,000025754000
61,000000000000	0,011342442000	0,558081780000	0,000178221000	0,000026086000
62,000000000000	0,011343971000	0,558022800000	0,000178231000	0,000026574000
63,000000000000	0,011344567000	0,557955860000	0,000178367000	0,000026978000
64,000000000000	0,011345412000	0,557861780000	0,000178263000	0,000027518000
65,000000000000	0,011345965000	0,557777290000	0,000177739000	0,000027995000
66,000000000000	0,011346789000	0,557960760000	0,000178315000	0,000028327000
67,000000000000	0,011346778000	0,557656890000	0,000178158000	0,000028597000
68,000000000000	0,011348676000	0,557566070000	0,000178148000	0,000028555000
69,000000000000	0,011348730000	0,557457290000	0,000177844000	0,000029759000
70,001000000000	0,011350638000	0,557384030000	0,000178148000	0,000029811000
71,000000000000	0,011351212000	0,557313210000	0,000178179000	0,000030299000
72,001000000000	0,011351408000	0,557253420000	0,000178388000	0,000030527000
73,000000000000	0,011352307000	0,557177290000	0,000178367000	0,000031419000
