Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error,R_sample (Ohm),R_sample (Ohm) error,I_coil (Ohm),mag field (gauss),mag field (gauss) error
0.0,0.089599574,0.00472194,7.8474e-05,0.000104209,7.979978700000001e-06,3.736097e-06,3.5039237e-06,3.50521045e-06,496.37407527135747,1.5106389403729699,0.414823722093899,1.5104646360667564,1.5108131331909533,89599.57400000001,7.979978700000001,0.0007847399999999999,3.5039236999999996e-05,0.2710247074122237,114.78598903386259,3.8609817604535834
1.0,0.089598349,0.004749945,7.7867e-05,8.3747e-05,7.97991745e-06,3.73749725e-06,3.50389335e-06,3.50418735e-06,499.31798306730036,1.5118727442952122,0.41497533334539016,1.5116991641401136,1.5120462140643212,89598.349,7.97991745,0.00077867,3.5038933499999996e-05,0.2178075422626788,92.2471401090011,3.8598548180072356
2.0,0.08959552,0.004742515,7.7909e-05,6.371e-05,7.979776e-06,3.7371257499999998e-06,3.50389545e-06,3.5031855e-06,498.53693557849994,1.511545947937982,0.4149351093997169,1.511372176420625,1.5117196087786682,89595.52,7.979776000000001,0.00077909,3.503895449999999e-05,0.16569570871261377,70.17642776868968,3.858751282390145
3.0,0.089599303,0.004706876,7.8076e-05,4.3591e-05,7.97996515e-06,3.7353438e-06,3.5039038e-06,3.50217955e-06,494.7905356520722,1.5099729536851523,0.41474216980350587,1.5097982565977275,1.5101475386839311,89599.30300000001,7.97996515,0.00078076,3.5039038e-05,0.11337061118335501,48.01539260500639,3.857643230631929
4.0,0.089600995,0.004724451,7.7898e-05,2.3108e-05,7.980049750000001e-06,3.7362225499999998e-06,3.5038948999999997e-06,3.5011554e-06,496.63803358150255,1.5107497946620112,0.4148373159468715,1.510575555605323,1.510923922330036,89600.99500000001,7.980049750000001,0.00077898,3.5038948999999995e-05,0.06009882964889467,25.453412225378823,3.8565151316129302
5.0,0.089604529,0.004747659,7.8003e-05,3.435e-06,7.98022645e-06,3.73738295e-06,3.50390015e-06,3.5001717499999998e-06,499.0776769354837,1.5117722400358207,0.4149629575796016,1.5115986010623117,1.511945768534039,89604.52900000001,7.980226450000001,0.00078003,3.5039001499999995e-05,0.008933680104031208,3.783645101011602,3.855431643256694
6.0,0.089609223,0.004734249,7.7532e-05,3.061e-06,7.98046115e-06,3.73671245e-06,3.5038766e-06,3.50015305e-06,497.66800710711044,1.5111819206275905,0.41489035958344034,1.511007935571287,1.5113557946823515,89609.22300000001,7.98046115,0.00077532,3.5038765999999994e-05,0.007960988296488947,3.3716849066074324,3.855411045246968
7.0,0.089603965,0.004721103,7.7741e-05,2.3471e-05,7.98019825e-06,3.73605515e-06,3.50388705e-06,3.50117355e-06,496.2860891679758,1.5106019789140657,0.41481919080957497,1.5104276528439082,1.51077619346277,89603.965,7.980198250000001,0.00077741,3.50388705e-05,0.061042912873862154,25.853255943476967,3.856535123798846
8.0,0.089603737,0.004714041,7.839e-05,4.3373e-05,7.98018685e-06,3.73570205e-06,3.5039195e-06,3.50216865e-06,495.5437261308415,1.5102899249754962,0.4147809591131625,1.5101154149956593,1.510464323152928,89603.73700000001,7.980186850000001,0.0007838999999999999,3.5039195e-05,0.1128036410923277,47.775266074578255,3.8576312243053934
9.0,0.089601721,0.004726472,7.7898e-05,6.3399e-05,7.98008605e-06,3.7363235999999998e-06,3.5038948999999997e-06,3.50316995e-06,496.850482703288,1.5108389839344547,0.4148482570766435,1.5106647973483702,1.5110130592119082,89601.721,7.98008605,0.00077898,3.5038948999999995e-05,0.16488686605981792,69.83386193858364,3.858734154098684
