Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error
0.0,0.12494643,0.000448998,7.9196e-05,0.000137444,9.7473215e-06,3.5224499e-06,3.5039598e-06,3.5068721999999998e-06,47.19902562266547,1.1269371945905713,0.3916912070369914,1.1258826410950316,1.1279846849350943,124946.43000000001,9.7473215
1.0,0.12492118,0.000462531,7.9584e-05,0.000137568,9.746059000000001e-06,3.52312655e-06,3.5039791999999998e-06,3.5068784e-06,48.62162530852494,1.1307086468070373,0.3917644709208132,1.129679045167185,1.1317315618406496,124921.18000000001,9.746059
2.0,0.12494502,0.000434281,7.9176e-05,0.000136946,9.747251e-06,3.52171405e-06,3.5039588e-06,3.5068473e-06,45.65196291840227,1.1227298080366201,0.39161153330772186,1.1216464742871124,1.1238056301492076,124945.02,9.747251
3.0,0.12493213,0.000446712,7.9364e-05,0.000136427,9.7466065e-06,3.5223356e-06,3.5039682e-06,3.5068213499999998e-06,46.95871949084881,1.1262910607561183,0.3916788312712029,1.1252321531239706,1.1273428383605226,124932.13,9.7466065
4.001,0.12494232,0.000452284,7.9783e-05,0.00013595,9.747116e-06,3.5226142e-06,3.50398915e-06,3.5067975e-06,47.544452547052835,1.1278613258003714,0.39170899652359736,1.126812959082214,1.1289027237949096,124942.32,9.747116000000002
5.001,0.12496106,0.00043967,7.9793e-05,0.000135877,9.748053e-06,3.5219834999999998e-06,3.5039896499999998e-06,3.50679385e-06,46.21845886956585,1.1242836717878884,0.39164070784920674,1.1232110855984487,1.1253489155960172,124961.06,9.748053
6.0,0.12494806,0.000437281,7.9406e-05,0.00013542,9.747403e-06,3.52186405e-06,3.5039703e-06,3.506771e-06,45.96732529611441,1.1235967442868084,0.39162777447017405,1.1225194241539331,1.1246666477475873,124948.06000000001,9.747403000000002
7.0,0.12492205,0.000440098,7.8966e-05,0.000135047,9.7461025e-06,3.5220049e-06,3.5039483e-06,3.5067523499999998e-06,46.263450568786105,1.1244064181482836,0.3916430249217166,1.1233346749902857,1.1254708321117841,124922.05000000002,9.746102500000001
8.0,0.12493115,0.000451059,7.9605e-05,0.000134538,9.746557500000001e-06,3.5225529499999997e-06,3.50398025e-06,3.5067269e-06,47.41567957615371,1.1275174530114707,0.39170236471559605,1.126466789745011,1.1285611125844663,124931.15000000001,9.746557500000002
9.0,0.12492107,0.000449467,7.9908e-05,0.000133864,9.7460535e-06,3.52247335e-06,3.5039954e-06,3.5066932e-06,47.24832727438113,1.1270694271252046,0.39169374607205476,1.1260157618166218,1.1281160428820889,124921.07,9.7460535
10.0,0.12496226,0.00042534,7.9783e-05,0.000133407,9.748113000000001e-06,3.521267e-06,3.50398915e-06,3.50667035e-06,44.71207791202752,1.1201169072282104,0.39156312922989356,1.1190151808024706,1.1212108274579184,124962.26000000001,9.748113000000002
