Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.011195947,0.5755675,0.000130692,2.677e-06,60504.111777944454,3.7172570582586317
1.0,0.011196933,0.57524893,0.000131457,2.563e-06,60470.62344705521,3.7167591861552243
2.0,0.011198841,0.57471281,0.000131834,2.397e-06,60414.266087742195,3.7159208996248756
3.0,0.01120295,0.57405607,0.000129844,2.625e-06,60345.22905842931,3.714893290730425
4.0,0.011208176,0.57330628,0.000127698,2.521e-06,60266.4105393677,3.713719115869214
5.0,0.011214496,0.57251444,0.000121794,2.594e-06,60183.17169097851,3.712477965849021
6.0,0.011219168,0.57211322,0.000114026,2.532e-06,60140.995126583286,3.711848641642611
7.0,0.011222497,0.57197914,0.000111095,2.615e-06,60126.90053071542,3.7116382672725963
8.0,0.011225944,0.5715071,0.000109933,2.49e-06,60077.279311790335,3.7108973617814622
9.0,0.01123027,0.57091241,0.000108708,2.687e-06,60014.76502765646,3.7099633594767223
10.0,0.011233446,0.57030628,0.000106593,2.584e-06,59951.04816165557,3.709010714582054
11.0,0.011236005,0.56974669,0.000104238,2.708e-06,59892.22361734092,3.7081306096247686
12.0,0.011240102,0.56925527,0.000100417,2.625e-06,59840.56515745582,3.707357239446782
13.0,0.011242986,0.56878118,9.8197e-05,2.48e-06,59790.728440905965,3.706610715552985
14.0,0.011245577,0.56839384,9.6344e-05,2.532e-06,59750.01095311163,3.7060004807174622
15.0,0.011248114,0.56800119,9.4544e-05,2.636e-06,59708.735273908744,3.705381593993248
16.0,0.011249307,0.56813976,9.2419e-05,2.428e-06,59723.30186213526,3.7056000380591314
17.0,0.011250781,0.56802159,9.0911e-05,2.698e-06,59710.87973807718,3.7054137551498587
18.0,0.011253068,0.56780486,9.0272e-05,2.656e-06,59688.09690870332,3.70507203456871
19.0,0.011254499,0.56749057,8.9194e-05,2.636e-06,59655.05849480628,3.7045763337863984
20.0,0.011257903,0.56712629,8.8084e-05,2.563e-06,59616.765092488626,3.7040015567007907
21.0,0.011261806,0.56665853,8.7205e-05,2.532e-06,59567.59379055575,3.7032631391367294
22.0,0.01126508,0.56616197,8.6158e-05,2.438e-06,59515.395009796826,3.7024788073157553
23.0,0.011269341,0.56564504,8.5404e-05,2.615e-06,59461.05491849325,3.7016618075378362
24.0,0.011272636,0.56519994,8.4766e-05,2.542e-06,59414.26565372002,3.700957930499074
25.0,0.011276854,0.56474953,8.419e-05,2.667e-06,59366.91819753826,3.700245275708735
26.0,0.011278762,0.56432136,8.3813e-05,2.677e-06,59321.908627783254,3.699567454440041
27.0,0.011283011,0.56389402,8.3237e-05,2.573e-06,59276.986308286076,3.698890601271369
28.0,0.01128622,0.56349892,8.24e-05,2.594e-06,59235.45308314139,3.698264504460822
29.0,0.011289104,0.56310524,8.2327e-05,2.604e-06,59194.06912952214,3.6976403633874115
30.0,0.01129343,0.56272218,8.1981e-05,2.553e-06,59153.80155872001,3.697032776801057
31.0,0.011296725,0.56234035,8.2295e-05,2.511e-06,59113.66328649274,3.6964268635672872
32.0,0.011299316,0.56193525,8.1761e-05,2.532e-06,59071.07885342234,3.695783720594531
33.0,0.011302764,0.56156361,8.1573e-05,2.698e-06,59032.011762071365,3.6951934242185684
34.0,0.011305984,0.56116341,8.107e-05,2.584e-06,58989.94242088456,3.6945574697909858
35.0,0.011309062,0.56076729,8.1175e-05,2.667e-06,58948.30197253145,3.6939276976378856
36.0,0.011312521,0.56035219,8.1028e-05,2.553e-06,58904.66633153535,3.6932674281484514
37.0,0.011315784,0.55996913,8.1343e-05,2.615e-06,58864.39876073322,3.6926578297033017
38.0,0.011319101,0.55952035,8.0955e-05,2.542e-06,58817.22265144332,3.6919432872199307
39.0,0.011323047,0.55897668,8.0631e-05,2.636e-06,58760.0716301464,3.691077144108553
40.0,0.01132824,0.55848505,7.9971e-05,2.542e-06,58708.39109489486,3.6902934188582956
41.0,0.011331861,0.55800158,8.0631e-05,2.656e-06,58657.5683453107,3.6895222479551735
42.0,0.011336534,0.55751995,8.0243e-05,2.625e-06,58606.93901798487,3.6887535638946454
43.0,0.011339959,0.55701382,7.9762e-05,2.49e-06,58553.73423124105,3.6879452950457976
44.0,0.011342084,0.55655383,8.0411e-05,2.698e-06,58505.379717866446,3.6872102802139053
45.0,0.011345098,0.55611056,8.0578e-05,2.615e-06,58458.78282414364,3.6865015944934
46.0,0.011349033,0.555664,7.9636e-05,2.584e-06,58411.84008301326,3.6857872635738445
47.0,0.011353229,0.55519461,8.0296e-05,2.864e-06,58362.49743418848,3.685035995687349
48.0,0.011356926,0.55471625,8.0547e-05,2.376e-06,58312.211851854365,3.684269930370289
49.0,0.011361587,0.55424931,7.9762e-05,2.853e-06,58263.12674897139,3.6835217237621927
50.0,0.011364905,0.55377441,7.9479e-05,2.438e-06,58213.20488457956,3.6827603262601287
51.0,0.01136948,0.55330645,8.0557e-05,2.687e-06,58164.01255848816,3.6820096247160956
52.0,0.011373469,0.5528638,7.9971e-05,2.802e-06,58117.48083965674,3.6812991313648733
53.0,0.011375973,0.55244115,7.9929e-05,2.48e-06,58073.051536676736,3.6806203817592666
54.0,0.011380819,0.55199625,8.0212e-05,2.573e-06,58026.283296062014,3.679905521640143
55.0,0.01138547,0.55150401,8.0034e-05,2.532e-06,57974.538637127014,3.6791141432949424
56.0,0.011389351,0.55101789,7.9657e-05,2.75e-06,57923.43731744253,3.678332136541897
57.0,0.011393839,0.55055768,7.9982e-05,2.636e-06,57875.05967749356,3.6775913816393415
58.0,0.01139823,0.55008809,7.9846e-05,2.656e-06,57825.69600451028,3.6768350981609474
59.0,0.011402263,0.54959891,7.9479e-05,2.656e-06,57774.273015200546,3.6760468015111907
60.0,0.011406675,0.54912319,7.994e-05,2.812e-06,57724.2649517588,3.675279741277232
61.0,0.011410654,0.54865177,8.0191e-05,2.667e-06,57674.70890772511,3.674519172274582
62.0,0.011414361,0.54821013,7.9877e-05,2.532e-06,57628.28336089418,3.673806249158178
63.0,0.011419023,0.54773728,7.9584e-05,2.501e-06,57578.576994127114,3.6730425154549153
64.0,0.011423381,0.54727993,7.9741e-05,2.781e-06,57530.499999644904,3.672303393816423
65.0,0.011427111,0.54685279,8.0065e-05,2.501e-06,57485.59870430624,3.671612718200747
