Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.009161512,0.9610036,0.00018089,8.2e-07,101021.46009530945,4.218911183840009
1.0,0.009161566,0.96104136,0.000180943,7.89e-07,101025.42945643692,4.218952906646841
2.0,0.009160742,0.96107299,0.000180775,7.16e-07,101028.75442710593,4.218987855268928
3.0,0.009160612,0.96108421,0.000181016,4.15e-07,101029.93388239857,4.219000252284202
4.0,0.009160731,0.96107829,0.000180869,7.47e-07,101029.31156730656,4.218993711268804
5.0,0.009160417,0.96102809,0.000180974,8.3e-07,101024.0345035195,4.218938244124395
6.0,0.009159755,0.96100238,0.000180775,5.81e-07,101021.33184794252,4.218909835785811
7.0,0.00915994,0.96098972,0.000181047,1.027e-06,101020.00101870859,4.218895846892352
8.0,0.00915969,0.96099687,0.000181278,7.26e-07,101020.75263237546,4.218903747428156
9.0,0.009159495,0.96098768,0.000180618,7.57e-07,101019.78657229173,4.2188935927461335
10.0,0.00915904,0.9609934,0.000181016,9.13e-07,101020.38786322523,4.218899913187102
11.0,0.009159018,0.96097687,0.00018067,3.74e-07,101018.65021652404,4.218881647926793
12.0,0.009158801,0.96097278,0.000181047,9.03e-07,101018.22027248243,4.218877128540227
13.0,0.00915814,0.96096993,0.000180953,6.02e-07,101017.9206782236,4.218873979326694
14.0,0.009157858,0.96098217,0.000181016,6.85e-07,101019.20735672466,4.218887504325124
15.0,0.009157544,0.96098687,0.000180985,9.03e-07,101019.70142444975,4.218892697716585
16.0,0.009157208,0.96100585,0.000181163,1.058e-06,101021.69661709275,4.218913670002491
17.0,0.00915634,0.9610185,0.000181204,8.2e-07,101023.02639511875,4.218927647686719
18.0,0.009156796,0.9610438,0.000180786,8.4e-07,101025.68595117079,4.218955602679687
19.0,0.009156232,0.96104176,0.000180974,1.006e-06,101025.47150475395,4.218953348619757
20.0,0.009155549,0.96102707,0.000181183,7.47e-07,101023.9272803111,4.218937117082304
21.0,0.009155256,0.96098421,0.00018111,7.99e-07,101019.42180314151,4.218889758480135
22.0,0.009155191,0.96099544,0.000181236,7.57e-07,101020.60230964208,4.218902167324196
23.0,0.009154617,0.96098809,0.000180461,8.4e-07,101019.82967181668,4.218894045785585
