Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.034907862,0.047842629,7.7741e-05,3.04e-06,5029.255079146628,2.175787019291512
1.0,0.034915147,0.04786349,7.7951e-05,2.822e-06,5031.448004000446,2.175963984474063
2.0,0.034918898,0.047873308,7.7972e-05,2.3398e-05,5032.480079941906,2.176047255946212
3.0,0.034910833,0.047869613,7.8317e-05,4.3591e-05,5032.091658613356,2.1760159179086296
4.0,0.034916687,0.047835872,7.8191e-05,6.3658e-05,5028.544777951228,2.1757296897841436
5.0,0.03491853,0.047858509,7.8516e-05,8.4079e-05,5030.924397332652,2.175921734339704
6.001,0.034915115,0.04788235,7.994e-05,0.00010424,5033.430582148329,2.1761239371410355
7.0,0.03491931,0.047858999,7.9783e-05,0.000104447,5030.975906521011,2.1759258907581995
8.0,0.034918074,0.047851651,7.9102e-05,0.000104862,5030.203478937202,2.175863558895196
9.0,0.034914096,0.04785459,7.9427e-05,0.000105288,5030.512428946567,2.1758884905997222
10.0,0.034916318,0.047866041,7.9448e-05,0.000105734,5031.716167142294,2.1759856217457085
11.0,0.034919701,0.047876512,7.9605e-05,0.000105973,5032.816886961302,2.176074428596147
12.0,0.034919365,0.047850222,7.95e-05,0.000106398,5030.053261324618,2.17585143629076
13.0,0.034921663,0.047864081,7.9196e-05,0.000107155,5031.510130388855,2.1759689973227703
14.001,0.034929631,0.047884412,8.016e-05,0.000107425,5033.6473412226105,2.1761414228915252
15.0,0.034923668,0.047876941,8.0306e-05,0.000107602,5032.861983781315,2.1760780668028534
16.0,0.034910833,0.047861836,7.9804e-05,0.000108069,5031.274134209533,2.1759499550953803
17.0,0.034920633,0.047841955,7.9688e-05,0.00010839,5029.184227732436,2.175781300972019
18.0,0.034915548,0.047861367,7.9437e-05,0.000108909,5031.224832557818,2.175945976944271
19.0,0.03492369,0.047849303,7.9898e-05,0.00010922,5029.956655316246,2.1758436400489245
20.0,0.034927224,0.047852549,7.9877e-05,0.000109708,5030.29787740893,2.1758711767731627
21.0,0.034920796,0.047855162,7.9835e-05,0.000110185,5030.572558039917,2.175893342806668
22.0,0.034904783,0.047869103,8.0149e-05,0.000110362,5032.038047009146,2.176011592387659
23.0,0.03488927,0.047857835,8.016e-05,0.000110725,5030.853545918459,2.1759160171039467
24.0,0.034907613,0.047849936,8.0191e-05,0.000111462,5030.023196777943,2.1758490100483865
25.0,0.034916828,0.047860122,8.0285e-05,0.00011198,5031.093957171068,2.1759354164991205
