Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.011288161,0.5649132,8.1322e-05,2.719e-06,59384.123317658305,3.7005042845411613
1.0,0.011287846,0.5648734,8.084e-05,2.812e-06,59379.93951011398,3.7004413054404846
2.0,0.011287944,0.56480953,8.0987e-05,2.864e-06,59373.225445092496,3.7003402319717917
3.0,0.011287901,0.56475075,8.0767e-05,3.403e-06,59367.04644490518,3.700247206553831
4.0,0.01128957,0.56470524,8.0599e-05,3.362e-06,59362.26239763529,3.7001751777966843
5.0,0.011289299,0.56465912,8.0934e-05,3.611e-06,59357.41422668193,3.7001021795983227
6.0,0.011289679,0.56458157,8.0767e-05,4.119e-06,59349.26210921807,3.6999794252986313
7.0,0.011289982,0.56449504,8.1091e-05,4.389e-06,59340.16600703692,3.6998424430894428
8.0,0.011290763,0.56441055,8.24e-05,4.835e-06,59331.28435127262,3.69970867666144
9.0,0.011291522,0.56433177,8.4776e-05,5.416e-06,59323.00293523391,3.699583938266832
10.0,0.011292974,0.56420402,9.3141e-05,5.717e-06,59309.573753983,3.6993816369693784
11.0,0.011294243,0.56410912,0.000110917,6.091e-06,59299.59779076804,3.699231336011138
12.0,0.011294752,0.56402932,0.000132357,6.599e-06,59291.20915152089,3.699104936972379
13.0,0.011295479,0.56395075,0.000152541,7.035e-06,59282.94981084861,3.698980474408304
14.0,0.011296736,0.56384198,0.000165428,7.492e-06,59271.51582224069,3.6988081527926355
15.0,0.011296357,0.56372973,0.000172128,7.678e-06,59259.716013274636,3.698630294396334
16.001,0.011297744,0.56362137,0.000175677,7.927e-06,59248.32512419167,3.6984585769914307
17.0,0.011298796,0.56352177,0.000177289,7.824e-06,59237.85509325163,3.698300721868392
18.0,0.011299295,0.56339279,0.000177813,8.975e-06,59224.29661342586,3.6980962746969763
19.0,0.011300606,0.5632432,0.000177635,9.536e-06,59208.57159406521,3.6978591189289385
20.0,0.011301419,0.56312463,0.000177697,9.785e-06,59196.1074216901,3.6976711112203846
21.0,0.011302915,0.56302565,0.000178168,1.0189e-05,59185.702565641455,3.6975141454885896
22.0,0.011303631,0.56289627,0.000178336,1.0418e-05,59172.10203749864,3.6973089423812757
23.0,0.011303826,0.56275422,0.000177676,1.1009e-05,59157.16962891397,3.6970836073952515
24.0,0.011304943,0.56262729,0.00017776,1.1424e-05,59143.82664671298,3.6968822249314055
25.0,0.011306255,0.56251953,0.000177122,1.1819e-05,59132.49883010556,3.696711232839118
26.0,0.011307198,0.5623981,0.000177394,1.2036e-05,59119.7340122637,3.6965185229089332
27.0,0.011309052,0.56223994,0.000178043,1.2545e-05,59103.108107710716,3.6962674802384523
28.001,0.011308986,0.56209178,0.000178022,1.3022e-05,59087.53341108344,3.6960322670717627
29.0,0.011310623,0.56196729,0.000178011,1.3458e-05,59074.44692361631,3.695834599172753
30.0,0.011311664,0.5618377,0.000178022,1.4008e-05,59060.824320107065,3.695628802017208
31.0,0.011312098,0.5617181,0.00017775,1.4039e-05,59048.25187331561,3.6954388412143087
32.0,0.011313366,0.56160974,0.000177833,1.4579e-05,59036.86098423265,3.695266709365942
33.0,0.011313149,0.56152259,0.00017798,1.5087e-05,59027.699707160114,3.695128253743107
34.0,0.011315079,0.56140341,0.000178043,1.5326e-05,59015.17141110154,3.6949388884481307
35.0,0.011315578,0.56127974,0.00017797,1.5658e-05,59002.17112268432,3.694742360325785
36.0,0.011315957,0.56116035,0.000177394,1.6125e-05,58989.620751259296,3.6945526059930347
37.0,0.011317963,0.56103831,0.000177101,1.6581e-05,58976.79180973397,3.694358611705655
38.0,0.01131921,0.5608881,0.00017797,1.6924e-05,58961.00161548192,3.6941197994338344
39.0,0.011319491,0.56075178,0.000177917,1.7474e-05,58946.671549038685,3.693903032932674
40.0,0.011320933,0.56060545,0.000177687,1.792e-05,58931.2892234618,3.6936703096867958
41.0,0.011322885,0.56048464,0.000177833,1.8107e-05,58918.58958051133,3.693478142582171
42.0,0.011323687,0.56037035,0.000177928,1.8605e-05,58906.57532512844,3.6932963208417267
43.0,0.011324446,0.56023055,0.000178158,1.9165e-05,58891.87943832704,3.6930738817358435
44.0,0.011325487,0.56005076,0.00017821,1.9704e-05,58872.97977103076,3.692787758564917
45.0,0.011327893,0.55991525,0.000177928,2.0005e-05,58858.734852429494,3.6925720629726344
46.0,0.011328977,0.55978913,0.00017754,2.04e-05,58845.47701807047,3.6923712821160044
47.0,0.011329444,0.55965198,0.000178064,2.0763e-05,58831.059701369406,3.692152907067899
48.0,0.011330669,0.55950749,0.000178483,2.0991e-05,58815.87079805087,3.691922805977576
49.0,0.011331894,0.55937158,0.000177802,2.1489e-05,58801.58383113258,3.691706332010778
50.0,0.011333064,0.55926301,0.000177143,2.1946e-05,58790.17086668317,3.6915333790132894
51.0,0.011334062,0.55913096,0.000177823,2.233e-05,58776.289666024204,3.6913229916467247
52.0,0.011335482,0.55899688,0.00017821,2.2599e-05,58762.19507015634,3.691109335720184
53.0,0.01133675,0.55886137,0.000177886,2.317e-05,58747.95015155507,3.690893365981955
54.0,0.011337639,0.55874505,0.000178011,2.3533e-05,58735.722500963246,3.6907079522364303
55.0,0.011338322,0.55865525,0.000177938,2.4208e-05,58726.282653790404,3.690564793491355
56.0,0.011339396,0.55855321,0.000177938,2.4156e-05,58715.556128116485,3.690402102960627
