Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error
0.0,0.013492823,0.37215746,7.8212e-05,3.051e-06,4.17464115e-06,2.2107873000000002e-05,3.5039106e-06,3.50015255e-06,39121.48715630381,3.351641298064703,2.4040170457670706,3.351593329505469,3.351689264629223,13492.823,4.17464115
1.0,0.01349704,0.37210603,7.8181e-05,2.76e-06,4.174852e-06,2.21053015e-05,3.50390905e-06,3.500138e-06,39116.080793941896,3.3515334194003246,2.403738618105432,3.351485451910694,3.3515813848952405,13497.04,4.1748520000000005
2.0,0.013494525,0.37203195,7.8537e-05,3.269e-06,4.17472625e-06,2.2101597500000002e-05,3.50392685e-06,3.50016345e-06,39108.29344562826,3.3513780127582153,2.4033375696672796,3.351330046809227,3.3514259767124797,13494.525000000001,4.17472625
3.0,0.01349729,0.37197235,7.7867e-05,2.3627e-05,4.1748645e-06,2.20986175e-05,3.50389335e-06,3.50118135e-06,39102.02824639105,3.3512529673743003,2.403014911906563,3.3512050026648077,3.35130093008907,13497.29,4.1748645
4.0,0.013500119,0.37191664,7.8485e-05,2.3772e-05,4.17500595e-06,2.2095832000000004e-05,3.50392425e-06,3.5011885999999998e-06,39096.171967036935,3.351136071248877,2.4027133135198264,3.351088107697966,3.3511840328050604,13500.119,4.17500595
5.0,0.013495122,0.37192888,7.8223e-05,2.3772e-05,4.1747561e-06,2.2096444e-05,3.50391115e-06,3.5011885999999998e-06,39097.458645538,3.351161755419733,2.402779577462631,3.35111379161427,3.351209717230466,13495.122000000001,4.1747561
6.0,0.013499393,0.37193317,7.8453e-05,2.4727e-05,4.17496965e-06,2.20966585e-05,3.50392265e-06,3.50123635e-06,39097.90961373813,3.3511707573344363,2.402802802324938,3.351122793439756,3.351218719234387,13499.393,4.1749696499999995
7.0,0.013495609,0.37192235,7.8233e-05,2.5339e-05,4.17478045e-06,2.20961175e-05,3.50391165e-06,3.50126695e-06,39096.772206762515,3.351148053069697,2.402744225865693,3.351100089400037,3.351196014744627,13495.609,4.17478045
8.0,0.013497951,0.37191133,7.8369e-05,2.5629e-05,4.17489755e-06,2.20955665e-05,3.50391845e-06,3.50128145e-06,39095.61377562838,3.3511249286733187,2.4026845666622854,3.3510769652328385,3.3511728901190714,13497.951,4.174897550000001
9.0,0.013498916,0.3718444,7.7951e-05,2.5992e-05,4.1749458e-06,2.2092220000000003e-05,3.50389755e-06,3.5012996e-06,39088.57804098162,3.350984472627771,2.4023222263279775,3.3509365105791957,3.351032432681609,13498.916000000001,4.1749458
10.0,0.013499902,0.37182378,7.838e-05,2.6356e-05,4.1749951e-06,2.2091189e-05,3.503919e-06,3.5013178e-06,39086.410450238815,3.350941197050454,2.402210595404723,3.3508932354307,3.3509891566754706,13499.902,4.1749951
