Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.054174934,0.018073076,7.8464e-05,2.604e-06,1899.8560733107504,1.8425554586349553
1.0,0.054175302,0.017858528,7.7961e-05,2.947e-06,1877.3026175062885,1.8390610000211745
2.0,0.054187965,0.017786165,7.7794e-05,2.345e-05,1869.6957615934941,1.8378755428228928
3.0,0.054181688,0.017877348,7.7993e-05,4.3497e-05,1879.2809908224697,1.8393687417037503
4.0,0.054187694,0.017878633,7.7532e-05,6.3689e-05,1879.416071040923,1.839389745278466
5.0,0.05419074,0.017836626,7.8003e-05,8.4079e-05,1875.0002619074053,1.838702566601287
6.0,0.054193841,0.01784971,7.8118e-05,0.000104022,1876.3756623574004,1.8389167287992612
7.0,0.05420402,0.017885512,7.9626e-05,0.000124173,1880.1391969730169,1.8395021653155041
8.0,0.054201234,0.017879368,8.0034e-05,0.000128406,1879.4933348234626,1.8394017585056672
9.0,0.054205722,0.017778715,8.0379e-05,0.000128852,1868.9126116888424,1.8377532983491616
10.001,0.054210059,0.017789717,8.0097e-05,0.000129475,1870.0691506487053,1.837933813325777
11.0,0.05421381,0.017690924,8.0201e-05,0.000129298,1859.6839521882669,1.8363099675093677
12.0,0.054216477,0.01788241,8.0191e-05,0.000130108,1879.8131122744628,1.8394514747600081
13.0,0.05422464,0.017822661,7.9856e-05,0.000130388,1873.532250039155,1.8384738586148601
14.0,0.054235275,0.017844668,8.0767e-05,0.000130793,1875.8456433212586,1.838834213523479
15.0,0.054226223,0.01789678,8.0243e-05,0.000131228,1881.323698063704,1.8396862450577725
16.0,0.054229725,0.017796085,8.0505e-05,0.00013154,1870.7385598557955,1.8380382592020157
17.0,0.054233822,0.017822396,8.0107e-05,0.00013209,1873.5043930291238,1.838469517396883
18.0,0.054244382,0.017808577,8.0463e-05,0.000132391,1872.051728796589,1.8382430704549788
19.0,0.054252783,0.017812598,8.0149e-05,0.000132577,1872.4744195035157,1.8383089742275567
20.0,0.05425145,0.017819069,8.0201e-05,0.000133003,1873.1546561522412,1.838415010661821
21.0,0.054257185,0.017807557,8.0285e-05,0.000133542,1871.9445055881672,1.8382263510498411
22.0,0.054260264,0.017784389,8.0767e-05,0.000133947,1869.509067065889,1.8378464044153526
23.0,0.054264177,0.01781266,8.0086e-05,0.000134383,1872.4809369926554,1.8383099903168962
24.0,0.054264036,0.017810353,8.0568e-05,0.000134684,1872.2384233241946,1.8382721802372655
25.0,0.054273858,0.017797004,8.0327e-05,0.000135005,1870.8351658641682,1.8380533301108486
26.0,0.054278314,0.017783389,8.0892e-05,0.000135628,1869.403946273318,1.8378299967282548
27.0,0.054289058,0.017783675,8.1625e-05,0.00013624,1869.434010819993,1.8378346893948945
28.0,0.054279116,0.017809965,8.1416e-05,0.000136302,1872.1976364566772,1.8382658208469203
29.0,0.054285892,0.017789717,8.1876e-05,0.000137205,1870.0691506487053,1.837933813325777
30.0,0.054291529,0.017761508,8.1678e-05,0.000137184,1867.103798211078,1.837470812963778
31.0,0.054298511,0.017771407,8.3457e-05,0.000137506,1868.1443889367354,1.8376333479027551
32.0,0.05430456,0.017791697,8.7791e-05,0.000138087,1870.277289817995,1.8379662915414952
33.0,0.054300918,0.017788594,9.9757e-05,0.000138326,1869.9510999986487,1.8379153914385156
34.0,0.054312561,0.01776312,0.000118884,0.000138834,1867.273252928702,1.837497285387604
35.0,0.054321028,0.017760589,0.000131834,0.000139177,1867.0071922027055,1.8374557202768882
36.0,0.054318599,0.017777327,0.000138879,0.000139706,1868.766704028754,1.8377305190431037
37.0,0.054324475,0.017777429,0.00014293,0.000139934,1868.7774263495965,1.8377321930704802
38.0,0.054332042,0.017750363,0.000146155,0.000140359,1865.9322269778777,1.8372877411107018
39.0,0.054334633,0.017739259,0.00014917,0.000141013,1864.7649656971723,1.8371052600327682
40.0,0.054345117,0.017774755,0.000151295,0.000141397,1868.4963333502624,1.8376883049976669
41.0,0.054340878,0.017762855,0.000153986,0.000141636,1867.2453959186712,1.837492933650681
42.0,0.054340097,0.017743056,0.000155723,0.00014203,1865.1641093465635,1.8371676685209022
43.0,0.054350429,0.017731441,0.000157733,0.000142331,1863.9431313408543,1.836976730896101
44.0,0.054344932,0.017747893,0.000160445,0.000143078,1865.672578620228,1.8372471567310904
45.0,0.054354863,0.017742096,0.000161869,0.000143047,1865.0631933856953,1.837151890621626
46.0,0.054359156,0.017733523,0.000163994,0.000143794,1864.161992830987,1.8370109633044056
47.0,0.054357063,0.017731992,0.00016593,0.000144022,1864.0010528975608,1.8369857907645077
48.0,0.054363785,0.017735503,0.000167302,0.000144427,1864.3701320002765,1.8370435159235632
49.0,0.054370539,0.017729808,0.000169909,0.000144998,1863.7714690865864,1.8369498789464367
50.0,0.054375309,0.017731952,0.000173039,0.000145112,1863.996848065858,1.8369851330676676
51.0,0.054388047,0.017704763,0.000175823,0.00014562,1861.1387188366527,1.8365378315501004
52.0,0.054371883,0.017737544,0.000177132,0.000146025,1864.5846835379136,1.8370770686748836
53.0,0.054383581,0.017736013,0.000177781,0.000146523,1864.4237436044875,1.8370519002633154
54.0,0.054386844,0.017730992,0.000177593,0.00014672,1863.8959321049904,1.836969348021517
55.0,0.054388513,0.017701028,0.000177467,0.000147166,1860.7460926764013,1.8364763461510916
56.0,0.054384524,0.017721317,0.000178085,0.000147695,1862.8788884368685,1.8368102298294804
57.0,0.054394725,0.017736136,0.00017753,0.000147913,1864.4366734619741,1.8370539223426814
58.0,0.054394942,0.017718337,0.000177875,0.000148287,1862.565628475008,1.8367612071224242
59.0,0.05439414,0.017699844,0.000178367,0.000148899,1860.6216296579976,1.8364568532379248
60.0,0.054401219,0.017703702,0.000177823,0.000149335,1861.0271856757358,1.8365203663710248
61.0,0.054407409,0.017723032,0.00017798,0.000149625,1863.0591705961272,1.8368384398582662
62.0,0.054411832,0.01770711,0.000177959,0.000150103,1861.3854373368167,1.8365764629555552
63.0,0.054415291,0.017690393,0.000178535,0.000150424,1859.6281330474117,1.836301221837351
64.0,0.054428528,0.017689658,0.00017797,0.00015086,1859.5508692648725,1.8362891159327255
65.0,0.054426793,0.017702742,0.000178786,0.000151223,1860.9262697148677,1.8365045631058827
66.0,0.054428007,0.017707335,0.000178608,0.000151597,1861.4090895151448,1.8365801662403878
