Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error,R_sample (Ohm),R_sample (Ohm) error,I_coil (Ohm),mag field (gauss),mag field (gauss) error
0.0,0.011907413,0.49870985,7.8506e-05,2.636e-06,4.09537065e-06,2.8435492500000002e-05,3.5039253e-06,3.5001318e-06,52424.774694821914,3.591313807440811,3.089136354000753,3.5912632284596997,3.5913643844111567,11907.413,4.0953706500000004,0.00078506,3.5039253e-05,0.006855656697009102,2.9035483220572322,3.8553876384177386
1.0,0.011908953,0.49855924,7.9217e-05,2.895e-06,4.09544765e-06,2.8427962000000002e-05,3.50396085e-06,3.50014475e-06,52408.94245225285,3.591054562046274,3.0883209935084452,3.591003986109611,3.5911051359722093,11908.953000000001,4.09544765,0.0007921699999999999,3.5039608499999996e-05,0.007529258777633289,3.1888362641713552,3.855401902814846
2.0,0.011910232,0.49844883,7.9207e-05,3.258e-06,4.0955116e-06,2.84224415e-05,3.5039603499999998e-06,3.5001629e-06,52397.33606554511,3.59086447945149,3.0877232645929973,3.5908139057467987,3.5909150511454837,11910.232,4.0955116,0.00079207,3.5039603499999995e-05,0.008473342002600779,3.5886799822695217,3.8554218950007506
3.0,0.011911479,0.49831475,7.8244e-05,3.383e-06,4.09557395e-06,2.84157375e-05,3.5039122e-06,3.50016915e-06,52383.241469677225,3.5906336082271593,3.086997392905801,3.5905830372330843,3.590684177210573,11911.479000000001,4.09557395,0.00078244,3.5039121999999995e-05,0.008798439531859558,3.7263672130195813,3.855428779362287
4.0,0.01191149,0.49818251,7.9437e-05,3.663e-06,4.0955745e-06,2.8409125500000002e-05,3.50397185e-06,3.50018315e-06,52369.340296067676,3.5904058642270877,3.0862814824649094,3.5903552959065888,3.5904564305369595,11911.490000000002,4.0955745,0.00079437,3.5039718499999997e-05,0.00952665799739922,4.034786609899712,3.8554442003321308
5.0,0.011913192,0.4980319,7.8757e-05,4.016e-06,4.0956596e-06,2.8401595000000002e-05,3.50393785e-06,3.5002008e-06,52353.508053498605,3.590146433690077,3.0854661219726025,3.5900958684147457,3.590196996954821,11913.192000000001,4.095659599999999,0.00078757,3.50393785e-05,0.010444733420026008,4.423615349537871,3.8554636417691173
6.001,0.011915414,0.49787843,7.9772e-05,4.389e-06,4.0957707e-06,2.83939215e-05,3.5039886e-06,3.50021945e-06,52337.37516546278,3.5898820222562566,3.0846352782387574,3.5898314600841292,3.5899325824178354,11915.413999999999,4.0957707,0.0007977199999999999,3.5039886e-05,0.0114148244473342,4.834474046096054,3.855484184703945
7.001,0.011917355,0.49769659,7.9018e-05,4.97e-06,4.09586775e-06,2.83848295e-05,3.5039509e-06,3.5002485e-06,52318.26000054172,3.5895686613371014,3.0836508472453223,3.5895181028421033,3.589619217821601,11917.355,4.09586775,0.0007901799999999999,3.5039509e-05,0.012925877763328998,5.474444294622315,3.8555161832163725
8.0,0.011919469,0.49755394,7.8956e-05,5.365e-06,4.09597345e-06,2.8377697e-05,3.5039477999999998e-06,3.50026825e-06,52303.264519481505,3.5893227816207935,3.0828785799707212,3.589272226010642,3.5893733352204835,11919.469000000001,4.095973450000001,0.0007895599999999999,3.5039477999999995e-05,0.013953185955786736,5.909535943792519,3.8555379377988377
9.0,0.011920835,0.49739149,7.905e-05,5.8e-06,4.09604175e-06,2.83695745e-05,3.5039525e-06,3.50029e-06,52286.18764672839,3.589042715559882,3.081999121023936,3.5889921632352224,3.589093265874127,11920.835,4.09604175,0.0007905,3.5039525e-05,0.015084525357607282,6.388687506802717,3.855561895376982
10.0,0.011921875,0.4972323,7.8924e-05,6.267e-06,4.09609375e-06,2.8361615e-05,3.5039462e-06,3.50031335e-06,52269.45346775906,3.5887682099083693,3.0811373108070157,3.588717660803495,3.5888187570028656,11921.875,4.0960937500000005,0.00078924,3.5039462e-05,0.016299089726918074,6.9030870008849385,3.85558761535169
11.0,0.011924878,0.49709271,7.8914e-05,6.246e-06,4.0962439e-06,2.83546355e-05,3.5039456999999998e-06,3.5003123e-06,52254.77965632411,3.58852745350417,3.080381609518116,3.588476907222843,3.5885779977751593,11924.878,4.0962439,0.0007891399999999999,3.5039457e-05,0.0162444733420026,6.879955546118919,3.8555864587789404
12.0,0.011925279,0.49693475,7.8882e-05,6.931e-06,4.09626395e-06,2.83467375e-05,3.5039441e-06,3.50034655e-06,52238.17477592964,3.5882549586127155,3.0795264581778006,3.588204415526723,3.5883054996884134,11925.279,4.09626395,0.0007888199999999999,3.5039440999999994e-05,0.0180260078023407,7.63448157062924,3.855624185080171
13.0,0.011928629,0.49675802,7.8914e-05,7.44e-06,4.09643145e-06,2.8337901e-05,3.5039456999999998e-06,3.500372e-06,52219.59677825862,3.5879500145415646,3.078569691297743,3.587899475030867,3.5880005520420126,11928.629,4.09643145,0.0007891399999999999,3.5039457e-05,0.019349804941482442,8.195143974243475,3.855652218200353
