Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.015878664,0.25582941,7.7919e-05,3.144e-06,2.6892990342098155,9.821487679343704
1.0,0.015881244,0.25577472,7.8087e-05,2.604e-06,2.6887241285952466,9.823955943613223
2.0,0.015884985,0.25571839,7.8506e-05,2.3502e-05,2.688131983170696,9.826499385017378
3.0,0.015885505,0.25568859,7.8568e-05,4.3767e-05,2.687818723208835,9.82784540676811
4.0,0.015885364,0.25564941,8.0003e-05,5.1933e-05,2.687406859943543,9.82961561136831
5.0,0.01588634,0.25554614,7.9385e-05,5.2504e-05,2.686321277518665,9.834284222826158
6.0,0.015890145,0.25544492,8.0023e-05,5.2649e-05,2.685257244856265,9.838864010532811
7.0,0.015892736,0.25534206,7.9908e-05,5.3002e-05,2.6841759723838816,9.843521913043482
8.0,0.015894525,0.25526594,7.9814e-05,5.3137e-05,2.6833757929108337,9.846971465394454
9.0,0.015895674,0.25521819,7.9898e-05,5.3873e-05,2.682873841126309,9.849136470494601
10.0,0.015896682,0.25517165,8.0495e-05,5.4122e-05,2.6823846089576846,9.851247433568705
11.0,0.015898178,0.25509002,8.0453e-05,5.4517e-05,2.6815265079279293,9.854951966310967
12.0,0.015900878,0.25499145,7.9887e-05,5.5139e-05,2.68049033227556,9.859428594047321
13.0,0.015903577,0.25494247,8.0536e-05,5.5264e-05,2.679975450633549,9.861654409743167
14.0,0.015906222,0.25490737,8.04e-05,5.5658e-05,2.679606476651626,9.863250024785295
15.0,0.015906461,0.254849,8.0892e-05,5.6135e-05,2.6789928865853905,9.86590449669629
16.0,0.015907718,0.25477655,8.1144e-05,5.6561e-05,2.6782312864432156,9.86920105845877
17.0,0.015909702,0.25472594,8.0997e-05,5.6748e-05,2.677699270112015,9.871505043681772
18.0,0.015910841,0.25463431,8.106e-05,5.7287e-05,2.6767360482896896,9.875678885735116
19.0,0.015912911,0.25452268,8.4389e-05,5.7765e-05,2.675562584882223,9.880768017627924
20.001,0.015915773,0.25443553,0.000102751,5.8148e-05,2.674646457174969,9.884744386910937
21.0,0.015917323,0.25437268,0.00013398,5.8667e-05,2.6739857729936625,9.887613804318388
22.0,0.015919524,0.254279,0.000143726,5.8875e-05,2.6730010014088594,9.891893533269851
23.0,0.015919893,0.2542486,0.000150573,5.9902e-05,2.6726814341994447,9.89328305613256
24.0,0.015921443,0.25418921,0.000155483,5.9975e-05,2.672057121812367,9.895998661523905
25.0,0.0159236,0.25411962,0.000159565,6.0411e-05,2.671325586216868,9.899182359095718
26.0,0.015926202,0.25402819,0.000164842,6.0618e-05,2.6703644668103936,9.903368009387869
27.0,0.015929997,0.25389717,0.000170202,6.1023e-05,2.668987174186132,9.90937160680155
28.0,0.01593519,0.25375553,0.000174253,6.1417e-05,2.6674982432801606,9.915869163260908
29.0,0.015937206,0.25365615,0.000174525,6.2008e-05,2.6664535528435933,9.920432648065484
30.0,0.015939147,0.25359656,0.0001744,6.1448e-05,2.6658271380406644,9.923170796649163
31.0,0.015939418,0.25352676,0.000174808,6.2631e-05,2.6650933949085203,9.926379812857903
32.0,0.015941683,0.25345227,0.000174651,6.3015e-05,2.664310350124661,9.929806498007668
33.0,0.015945966,0.25339798,0.000175017,6.3482e-05,2.6637396493417946,9.93230527754621
34.0,0.015946963,0.25334717,0.000175091,6.3855e-05,2.6632055305947433,9.934644904262308
35.0,0.01594899,0.2532239,0.000175258,6.4104e-05,2.661909706584724,9.940325166431064
36.0,0.01595272,0.25302043,0.000175551,6.4696e-05,2.659770813818288,9.949713754099644
37.0,0.01595479,0.25291084,0.000175174,6.5059e-05,2.658618795052505,9.954777072923424
38.0,0.01595801,0.25285084,0.000176117,6.5464e-05,2.657988070297081,9.957551169174343
39.0,0.015962043,0.25279594,0.00017598,6.5879e-05,2.657410957145867,9.96009067932089
40.0,0.015964482,0.25274696,0.000175813,6.6283e-05,2.656896075503856,9.962357326233722
41.0,0.015965664,0.25260186,0.000176138,6.6605e-05,2.6553707728036553,9.96907753729291
42.0,0.015968753,0.25244717,0.000176033,6.7176e-05,2.6537446592633787,9.976250840689534
43.0,0.015973968,0.25233268,0.000175813,6.7612e-05,2.652541131309236,9.981565934262258
44.0,0.015976288,0.2522839,0.000176326,6.7798e-05,2.6520283520830765,9.983832040602799
45.0,0.015976245,0.25220717,0.000176357,6.7466e-05,2.651221760241681,9.987398445463684
46.0,0.015975898,0.25212595,0.000176242,6.7041e-05,2.650367969164422,9.991176029297526
47.0,0.015981351,0.25199962,0.000176043,6.6512e-05,2.649039978191876,9.997056785194166
48.0,0.015986717,0.2518735,0.000175949,6.6107e-05,2.6477141947559746,10.00293394578584
49.0,0.015987075,0.25179533,0.000175761,6.5775e-05,2.646892465520449,10.006579752254508
50.0,0.015988994,0.25175207,0.000176169,6.5443e-05,2.6464377129717884,10.008598397263869
51.0,0.015992213,0.25167084,0.000176012,6.4966e-05,2.6455838167737364,10.012390808611787
52.0,0.015993818,0.25154898,0.000175865,6.4499e-05,2.644302814795469,10.018084949644729
53.0,0.015996366,0.25139877,0.000176085,6.4187e-05,2.642723795370265,10.025111775200482
54.0,0.01600042,0.25134816,0.000175562,6.398e-05,2.6421917790390643,10.027481297890803
55.0,0.016003705,0.25128122,0.000175342,6.3378e-05,2.6414881004535964,10.030616918556186
56.0,0.016003358,0.25119367,0.000175834,6.3139e-05,2.6405677679146398,10.034720606493774
57.0,0.016009646,0.25099326,0.000174504,6.2579e-05,2.63846104211073,10.044125641369126
58.0,0.016014297,0.25108816,0.000175509,6.2216e-05,2.6394586384322256,10.039670117261299
59.0,0.016014579,0.25081408,0.000174965,6.1925e-05,2.6365774877494474,10.052547735577694
60.0,0.01601614,0.25075326,0.000174975,6.1292e-05,2.6359381430890325,10.055409363406454
61.0,0.016020205,0.25060796,0.000174703,6.1168e-05,2.6344107379729804,10.06225174318468
62.0,0.016023013,0.25046265,0.000174661,6.0556e-05,2.6328832277361354,10.069102928704936
63.0,0.016029051,0.25033326,0.000174138,6.0244e-05,2.6315230698010628,10.075210533215952
64.0,0.016032564,0.25024673,0.000173311,5.9933e-05,2.630613459582948,10.079298713588958
65.0,0.016031241,0.25017102,0.000171929,5.9477e-05,2.629817590062396,10.082878129066291
66.0,0.016035849,0.25003653,0.00017127,5.8885e-05,2.6284038205231117,10.089242154326184
67.0,0.016036651,0.24995429,0.000167825,5.8439e-05,2.6275393071250104,10.093137267197847
68.0,0.016042516,0.24982245,0.0001619,5.8294e-05,2.6261533945957583,10.099387188465677
69.0,0.016044814,0.24973469,0.000137497,5.7889e-05,2.625230854520158,10.10355132115895
70.0,0.016045508,0.24963592,0.000136377,5.7401e-05,2.6241925764519367,10.108241543286944
71.0,0.016049942,0.24955204,0.000129604,5.6727e-05,2.6233108232438536,10.112227753648614
72.0,0.016052056,0.24944612,0.00012818,5.6862e-05,2.6221973838089445,10.117265384979701
73.0,0.016055742,0.24933408,0.000112236,5.626e-05,2.6210196104489825,10.122598975801104
